"year","state","party","ecv","pct","votes"
1980,"ARIZONA","rep",0,28.2,246843
1980,"ARKANSAS","dem",0,2.7,22468
1980,"ARKANSAS","other",6,48.1,403164
1980,"ARKANSAS","rep",0,47.5,398041
1980,"CALIFORNIA","dem",0,8.6,739833
1980,"CALIFORNIA","other",45,52.7,4524858
1980,"CALIFORNIA","rep",0,35.9,3083661
1980,"COLORADO","dem",0,11,130633
1980,"COLORADO","other",7,55.1,652264
1980,"COLORADO","rep",0,31.1,367973
1980,"CONNECTICUT","dem",0,12.2,171807
1980,"CONNECTICUT","other",8,48.2,677210
1980,"CONNECTICUT","rep",0,38.5,541732
1980,"DELAWARE","dem",0,6.9,16288
1980,"DELAWARE","other",3,47.2,111252
1980,"DELAWARE","rep",0,44.8,105754
1980,"DISTRICT OF COLUMBIA","dem",0,9.3,16337
1980,"DISTRICT OF COLUMBIA","other",0,13.4,23545
1980,"DISTRICT OF COLUMBIA","rep",3,74.8,131113
1980,"FLORIDA","dem",0,5.1,189692
1980,"FLORIDA","other",17,55.5,2046951
1980,"FLORIDA","rep",0,38.5,1419475
1980,"GEORGIA","dem",0,2.3,36055
1980,"GEORGIA","other",0,41,654168
1980,"GEORGIA","rep",12,55.8,890733
1980,"HAWAII","dem",0,10.6,32021
1980,"HAWAII","other",0,42.9,130112
1980,"HAWAII","rep",4,44.8,135879
1980,"IDAHO","dem",0,6.2,27058
1980,"IDAHO","other",4,66.5,290699
1980,"IDAHO","rep",0,25.2,110192
1980,"ILLINOIS","dem",0,7.3,346754
1980,"ILLINOIS","other",26,49.6,2358049
1980,"ILLINOIS","rep",0,41.7,1981413
1980,"INDIANA","dem",0,5,111639
1980,"INDIANA","other",13,56,1255656
1980,"INDIANA","rep",0,37.7,844197
1980,"IOWA","dem",0,8.8,115639
1980,"IOWA","other",8,51.3,676026
1980,"IOWA","rep",0,38.6,508672
1980,"KANSAS","dem",0,7,68231
1980,"KANSAS","other",7,57.9,566812
1980,"KANSAS","rep",0,33.3,326150
1980,"KENTUCKY","dem",0,2.4,31127
1980,"KENTUCKY","other",9,49.1,635274
1980,"KENTUCKY","rep",0,47.6,616417
1980,"LOUISIANA","dem",0,1.7,26345
1980,"LOUISIANA","other",10,51.2,792853
1980,"LOUISIANA","rep",0,45.7,708453
1980,"MAINE","dem",0,10.2,53327
1980,"MAINE","other",4,45.6,238522
1980,"MAINE","rep",0,42.3,220974
1980,"MARYLAND","dem",0,7.8,119537
1980,"MARYLAND","other",0,44.2,680606
1980,"MARYLAND","rep",10,47.1,726161
1980,"MASSACHUSETTS","dem",0,15.2,382539
1980,"MASSACHUSETTS","other",14,41.9,1057631
1980,"MASSACHUSETTS","rep",0,41.7,1053802
1980,"MICHIGAN","dem",0,7,275223
1980,"MICHIGAN","other",21,49,1915225
1980,"MICHIGAN","rep",0,42.5,1661532
1980,"MINNESOTA","dem",0,8.5,174990
1980,"MINNESOTA","other",0,42.6,873268
1980,"MINNESOTA","rep",10,46.5,954174
1980,"MISSISSIPPI","dem",0,1.3,12036
1980,"MISSISSIPPI","other",7,49.4,441089
1980,"MISSISSIPPI","rep",0,48.1,429281
1980,"MISSOURI","dem",0,3.7,77920
1980,"MISSOURI","other",12,51.2,1074181
1980,"MISSOURI","rep",0,44.3,931182
1980,"MONTANA","dem",0,8,29281
1980,"MONTANA","other",4,56.8,206814
1980,"MONTANA","rep",0,32.4,118032
1980,"NEBRASKA","dem",0,7,44993
1980,"NEBRASKA","other",5,65.9,419937
1980,"NEBRASKA","rep",0,26,166851
1980,"NEVADA","dem",0,7.1,17651
1980,"NEVADA","other",3,62.5,155017
1980,"NEVADA","rep",0,26.9,66666
1980,"NEW HAMPSHIRE","dem",0,12.9,49693
1980,"NEW HAMPSHIRE","other",4,57.7,221705
1980,"NEW HAMPSHIRE","rep",0,28.4,108864
1980,"NEW JERSEY","dem",0,7.9,234632
1980,"NEW JERSEY","other",17,52,1546557
1980,"NEW JERSEY","rep",0,38.6,1147364
1980,"NEW MEXICO","dem",0,6.5,29459
1980,"NEW MEXICO","other",4,54.9,250779
1980,"NEW MEXICO","rep",0,36.7,167826
1980,"NEW YORK","dem",0,7.5,467801
1980,"NEW YORK","other",41,46.7,2893831
1980,"NEW YORK","rep",0,44,2728372
1980,"NORTH CAROLINA","dem",0,2.8,52800
1980,"NORTH CAROLINA","other",13,49.3,915018
1980,"NORTH CAROLINA","rep",0,47.2,875635
1980,"NORTH DAKOTA","dem",0,7.8,23640
1980,"NORTH DAKOTA","other",3,64.2,193695
1980,"NORTH DAKOTA","rep",0,26.3,79189
1980,"OHIO","dem",0,5.9,254472
1980,"OHIO","other",25,51.5,2206545
1980,"OHIO","rep",0,40.9,1752414
1980,"OKLAHOMA","dem",0,3.3,38284
1980,"OKLAHOMA","other",8,60.5,695570
1980,"OKLAHOMA","rep",0,35,402026
