"state","year","gdp"
"Florida",1972,39709
"Georgia",1972,24610
"Hawaii",1972,5624
"Idaho",1972,3773
"Illinois",1972,73501
"Indiana",1972,29954
"Iowa",1972,15311
"Kansas",1972,12127
"Kentucky",1972,16915
"Louisiana",1972,20294
"Maine",1972,4625
"Maryland",1972,22644
"Massachusetts",1972,33807
"Michigan",1972,56579
"Minnesota",1972,21925
"Mississippi",1972,9183
"Missouri",1972,26414
"Montana",1972,3661
"Nebraska",1972,8487
"Nevada",1972,3990
"New Hampshire",1972,3626
"New Jersey",1972,45388
"New Mexico",1972,5406
"New York",1972,127221
"North Carolina",1972,28005
"North Dakota",1972,3078
"Ohio",1972,62940
"Oklahoma",1972,12738
"Oregon",1972,12221
"Pennsylvania",1972,65390
"Rhode Island",1972,5114
"South Carolina",1972,11897
"South Dakota",1972,3046
"Tennessee",1972,20326
"Texas",1972,64019
"Utah",1972,5604
"Vermont",1972,2294
"Virginia",1972,26064
"Washington",1972,20483
"West Virginia",1972,8391
"Wisconsin",1972,24064
"Wyoming",1972,2356
"New England",1972,68264
"United States",1973,1356500
"Alabama",1973,17428
"Alaska",1973,3041
"Arizona",1973,13330
"Arkansas",1973,9886
"California",1973,147231
"Colorado",1973,16120
"Connecticut",1973,20808
"Delaware",1973,4516
"District of Columbia",1973,10400
"Florida",1973,46973
"Georgia",1973,28226
"Hawaii",1973,6353
"Idaho",1973,4481
"Illinois",1973,81286
"Indiana",1973,33972
"Iowa",1973,18502
"Kansas",1973,14000
"Kentucky",1973,18903
"Louisiana",1973,22735
"Maine",1973,5203
"Maryland",1973,25112
"Massachusetts",1973,36912
"Michigan",1973,62907
"Minnesota",1973,26001
"Mississippi",1973,10557
"Missouri",1973,29275
"Montana",1973,4341
"Nebraska",1973,9961
"Nevada",1973,4530
"New Hampshire",1973,4173
"New Jersey",1973,49301
"New Mexico",1973,6189
"New York",1973,136396
"North Carolina",1973,31755
"North Dakota",1973,4404
"Ohio",1973,69836
"Oklahoma",1973,14483
"Oregon",1973,14180
"Pennsylvania",1973,71852
"Rhode Island",1973,5418
"South Carolina",1973,13761
"South Dakota",1973,3958
"Tennessee",1973,23150
"Texas",1973,73840
"Utah",1973,6472
"Vermont",1973,2483
"Virginia",1973,29450
"Washington",1973,23342
"West Virginia",1973,9187
"Wisconsin",1973,27037
"Wyoming",1973,2844
"New England",1973,74996
"United States",1974,1472024
"Alabama",1974,19454
"Alaska",1974,3999
"Arizona",1974,14611
"Arkansas",1974,10865
"California",1974,161815
"Colorado",1974,17852
"Connecticut",1974,22502
"Delaware",1974,4737
"District of Columbia",1974,11424
"Florida",1974,52123
"Georgia",1974,30378
"Hawaii",1974,7143
"Idaho",1974,5186
"Illinois",1974,88070
"Indiana",1974,35606
"Iowa",1974,19341
"Kansas",1974,15063
"Kentucky",1974,21173
"Louisiana",1974,26892
"Maine",1974,5603
"Maryland",1974,27381
"Massachusetts",1974,39313
"Michigan",1974,63034
"Minnesota",1974,27689
"Mississippi",1974,11281
"Missouri",1974,30468
"Montana",1974,4661
"Nebraska",1974,10440
"Nevada",1974,4966
"New Hampshire",1974,4470
"New Jersey",1974,52987
"New Mexico",1974,7116
"New York",1974,145419
"North Carolina",1974,33607
"North Dakota",1974,4506
"Ohio",1974,74206
"Oklahoma",1974,16204
"Oregon",1974,15424
"Pennsylvania",1974,78201
"Rhode Island",1974,5599
"South Carolina",1974,15312
"South Dakota",1974,3966
"Tennessee",1974,25106
"Texas",1974,85387
"Utah",1974,7348
"Vermont",1974,2577
"Virginia",1974,32428
"Washington",1974,26240
"West Virginia",1974,10684
"Wisconsin",1974,28694
"Wyoming",1974,3470
"New England",1974,80065
"United States",1975,1602228
"Alabama",1975,21346
"Alaska",1975,6220
"Arizona",1975,15284
"Arkansas",1975,11942
"California",1975,178394
"Colorado",1975,20166
"Connecticut",1975,23976
"Delaware",1975,5025
"District of Columbia",1975,12712
"Florida",1975,55288
"Georgia",1975,31995
"Hawaii",1975,8173
"Idaho",1975,5835
"Illinois",1975,95880
"Indiana",1975,37677
"Iowa",1975,21993
"Kansas",1975,16855
"Kentucky",1975,22810
"Louisiana",1975,30675
"Maine",1975,5996
"Maryland",1975,29597
"Massachusetts",1975,41910
"Michigan",1975,67046
"Minnesota",1975,29683
"Mississippi",1975,12292
"Missouri",1975,33001
"Montana",1975,5218
"Nebraska",1975,11875
"Nevada",1975,5529
"New Hampshire",1975,4842
"New Jersey",1975,56052
"New Mexico",1975,8098
"New York",1975,155256
"North Carolina",1975,35998
"North Dakota",1975,4869
"Ohio",1975,78141
"Oklahoma",1975,18163
"Oregon",1975,16823
"Pennsylvania",1975,84120
"Rhode Island",1975,6002
"South Carolina",1975,16030
"South Dakota",1975,4400
"Tennessee",1975,26645
"Texas",1975,98804
"Utah",1975,8186
"Vermont",1975,2807
"Virginia",1975,35067
"Washington",1975,29282
"West Virginia",1975,11973
"Wisconsin",1975,32295
"Wyoming",1975,3983
"New England",1975,85533
"United States",1976,1780497
"Alabama",1976,24324
"Alaska",1976,7470
"Arizona",1976,16970
"Arkansas",1976,13704
"California",1976,197347
"Colorado",1976,22253
"Connecticut",1976,26233
"Delaware",1976,5470
"District of Columbia",1976,13945
"Florida",1976,58729
"Georgia",1976,36425
"Hawaii",1976,8526
"Idaho",1976,6591
"Illinois",1976,104819
"Indiana",1976,43775
"Iowa",1976,24436
"Kansas",1976,18953
"Kentucky",1976,26040
"Louisiana",1976,34413
"Maine",1976,6968
"Maryland",1976,32612
"Massachusetts",1976,45498
"Michigan",1976,78770
"Minnesota",1976,32840
"Mississippi",1976,14552
"Missouri",1976,37211
"Montana",1976,6032
"Nebraska",1976,13042
"Nevada",1976,6263
"New Hampshire",1976,5511
"New Jersey",1976,60496
"New Mexico",1976,9254
"New York",1976,163284
"North Carolina",1976,40454
"North Dakota",1976,5052
"Ohio",1976,87419
"Oklahoma",1976,20822
"Oregon",1976,19758
"Pennsylvania",1976,90743
"Rhode Island",1976,6528
"South Carolina",1976,18177
"South Dakota",1976,4645
"Tennessee",1976,30549
"Texas",1976,113757
"Utah",1976,9300
"Vermont",1976,3222
"Virginia",1976,39574
"Washington",1976,32735
"West Virginia",1976,13249
"Wisconsin",1976,37033
"Wyoming",1976,4722
"New England",1976,93960
"United States",1977,1986408
"Alabama",1977,26725
"Alaska",1977,7544
"Arizona",1977,19609
"Arkansas",1977,15182
"California",1977,229592
"Colorado",1977,25428
"Connecticut",1977,29598
"Delaware",1977,6056
"District of Columbia",1977,15581
"Florida",1977,65272
"Georgia",1977,40785
"Hawaii",1977,9441
"Idaho",1977,7206
"Illinois",1977,115077
"Indiana",1977,47901
"Iowa",1977,27011
"Kansas",1977,20539
"Kentucky",1977,29176
"Louisiana",1977,39670
"Maine",1977,7647
"Maryland",1977,35555
"Massachusetts",1977,50719
"Michigan",1977,89326
"Minnesota",1977,36830
"Mississippi",1977,15957
"Missouri",1977,41150
"Montana",1977,6350
"Nebraska",1977,13874
"Nevada",1977,7416
"New Hampshire",1977,6298
"New Jersey",1977,65839
"New Mexico",1977,10102
"New York",1977,179890
"North Carolina",1977,43822
"North Dakota",1977,5243
"Ohio",1977,96995
"Oklahoma",1977,24022
"Oregon",1977,22047
"Pennsylvania",1977,99024
"Rhode Island",1977,7245
"South Carolina",1977,20103
"South Dakota",1977,5116
"Tennessee",1977,33598
"Texas",1977,130404
"Utah",1977,10381
"Vermont",1977,3347
"Virginia",1977,43219
"Washington",1977,36826
"West Virginia",1977,14439
"Wisconsin",1977,40686
"Wyoming",1977,5540
"New England",1977,104853
"United States",1978,2243230
"Alabama",1978,30546
"Alaska",1978,9130
"Arizona",1978,23279
"Arkansas",1978,17477
"California",1978,262803
"Colorado",1978,29398
"Connecticut",1978,33231
"Delaware",1978,6747
"District of Columbia",1978,16953
"Florida",1978,75681
"Georgia",1978,46154
"Hawaii",1978,10508
"Idaho",1978,8450
"Illinois",1978,128122
"Indiana",1978,53729
"Iowa",1978,30763
"Kansas",1978,22824
"Kentucky",1978,32683
"Louisiana",1978,45212
"Maine",1978,8449
"Maryland",1978,39526
"Massachusetts",1978,56883
"Michigan",1978,99335
"Minnesota",1978,41641
"Mississippi",1978,17758
"Missouri",1978,46176
"Montana",1978,7443
"Nebraska",1978,15851
"Nevada",1978,8932
"New Hampshire",1978,7389
"New Jersey",1978,72918
"New Mexico",1978,11536
"New York",1978,200063
"North Carolina",1978,49867
"North Dakota",1978,6417
"Ohio",1978,107554
"Oklahoma",1978,27105
"Oregon",1978,25391
"Pennsylvania",1978,110054
"Rhode Island",1978,7975
"South Carolina",1978,22976
"South Dakota",1978,5971
"Tennessee",1978,38182
"Texas",1978,149091
"Utah",1978,11998
"Vermont",1978,3942
"Virginia",1978,48379
"Washington",1978,42668
"West Virginia",1978,15957
"Wisconsin",1978,45423
"Wyoming",1978,6689
"New England",1978,117869
"United States",1979,2489416
"Alabama",1979,33712
"Alaska",1979,10891
"Arizona",1979,27495
"Arkansas",1979,19099
"California",1979,293491
"Colorado",1979,33785
"Connecticut",1979,36855
"Delaware",1979,7304
"District of Columbia",1979,18417
"Florida",1979,86263
"Georgia",1979,51550
"Hawaii",1979,11869
"Idaho",1979,9286
"Illinois",1979,139253
"Indiana",1979,57917
"Iowa",1979,33496
"Kansas",1979,26300
"Kentucky",1979,35838
"Louisiana",1979,51653
"Maine",1979,9335
"Maryland",1979,43628
"Massachusetts",1979,62965
"Michigan",1979,105413
"Minnesota",1979,46861
"Mississippi",1979,20011
"Missouri",1979,50601
"Montana",1979,8173
"Nebraska",1979,17423
"Nevada",1979,10295
"New Hampshire",1979,8351
"New Jersey",1979,81051
"New Mexico",1979,13141
"New York",1979,217725
"North Carolina",1979,54515
"North Dakota",1979,7218
"Ohio",1979,117117
"Oklahoma",1979,31546
"Oregon",1979,28372
"Pennsylvania",1979,120527
"Rhode Island",1979,8845
"South Carolina",1979,25507
"South Dakota",1979,6716
"Tennessee",1979,42194
"Texas",1979,171608
"Utah",1979,13709
"Vermont",1979,4399
"Virginia",1979,53398
"Washington",1979,48713
"West Virginia",1979,17424
"Wisconsin",1979,50101
"Wyoming",1979,8063
"New England",1979,130748
"United States",1980,2713933
"Alabama",1980,36142
"Alaska",1980,15282
"Arizona",1980,30764
"Arkansas",1980,20276
"California",1980,327958
"Colorado",1980,38332
"Connecticut",1980,40770
"Delaware",1980,7898
"District of Columbia",1980,19862
"Florida",1980,97899
"Georgia",1980,56229
"Hawaii",1980,13380
"Idaho",1980,9916
"Illinois",1980,145264
"Indiana",1980,58870
"Iowa",1980,34582
"Kansas",1980,28298
"Kentucky",1980,37017
"Louisiana",1980,63925
"Maine",1980,10263
"Maryland",1980,47522
"Massachusetts",1980,69684
"Michigan",1980,104134
"Minnesota",1980,50219
"Mississippi",1980,21353
"Missouri",1980,52420
"Montana",1980,8925
"Nebraska",1980,18294
"Nevada",1980,11633
"New Hampshire",1980,9263
"New Jersey",1980,88334
"New Mexico",1980,15731
"New York",1980,235746
"North Carolina",1980,58791
"North Dakota",1980,7645
"Ohio",1980,121228
"Oklahoma",1980,37608
"Oregon",1980,30001
"Pennsylvania",1980,127181
"Rhode Island",1980,9626
"South Carolina",1980,27607
"South Dakota",1980,6760
"Tennessee",1980,44972
"Texas",1980,203073
"Utah",1980,15311
"Vermont",1980,4856
"Virginia",1980,58669
"Washington",1980,52682
"West Virginia",1980,18408
"Wisconsin",1980,52899
"Wyoming",1980,10428
"New England",1980,144462
"United States",1981,3057318
"Alabama",1981,40257
"Alaska",1981,21824
"Arizona",1981,34269
"Arkansas",1981,22891
"California",1981,368808
"Colorado",1981,43974
"Connecticut",1981,45642
"Delaware",1981,8839
"District of Columbia",1981,21740
"Florida",1981,112167
"Georgia",1981,63751
"Hawaii",1981,14640
"Idaho",1981,10677
"Illinois",1981,159649
"Indiana",1981,64724
"Iowa",1981,38272
"Kansas",1981,31978
"Kentucky",1981,41068
"Louisiana",1981,77201
"Maine",1981,11255
"Maryland",1981,53117
"Massachusetts",1981,77833
"Michigan",1981,114676
"Minnesota",1981,55404
"Mississippi",1981,24023
"Missouri",1981,57763
"Montana",1981,10201
"Nebraska",1981,20863
"Nevada",1981,13203
"New Hampshire",1981,10480
"New Jersey",1981,98755
"New Mexico",1981,18511
"New York",1981,261840
"North Carolina",1981,65869
"North Dakota",1981,9954
"Ohio",1981,132782
"Oklahoma",1981,45430
"Oregon",1981,31590
"Pennsylvania",1981,138573
"Rhode Island",1981,10729
"South Carolina",1981,31048
"South Dakota",1981,7661
"Tennessee",1981,50265
"Texas",1981,245235
"Utah",1981,17320
"Vermont",1981,5436
"Virginia",1981,66179
"Washington",1981,58918
"West Virginia",1981,19837
"Wisconsin",1981,57494
"Wyoming",1981,12703
"New England",1981,161375
"United States",1982,3211370
"Alabama",1982,41778
"Alaska",1982,23461
"Arizona",1982,35794
"Arkansas",1982,23527
"California",1982,393788
"Colorado",1982,47654
"Connecticut",1982,50196
"Delaware",1982,9498
"District of Columbia",1982,22958
"Florida",1982,122282
"Georgia",1982,68451
"Hawaii",1982,15740
"Idaho",1982,10689
"Illinois",1982,164267
"Indiana",1982,64982
"Iowa",1982,37289
"Kansas",1982,33491
"Kentucky",1982,42184
"Louisiana",1982,78067
"Maine",1982,12115
"Maryland",1982,56339
"Massachusetts",1982,83777
"Michigan",1982,115166
"Minnesota",1982,57472
"Mississippi",1982,24614
"Missouri",1982,60699
"Montana",1982,10206
"Nebraska",1982,21265
"Nevada",1982,13885
"New Hampshire",1982,11407
"New Jersey",1982,105759
"New Mexico",1982,19242
"New York",1982,282227
"North Carolina",1982,68971
"North Dakota",1982,9954
"Ohio",1982,134636
"Oklahoma",1982,49317
"Oregon",1982,31594
"Pennsylvania",1982,142077
"Rhode Island",1982,11420
"South Carolina",1982,32353
"South Dakota",1982,7709
"Tennessee",1982,52045
"Texas",1982,260085
"Utah",1982,18365
"Vermont",1982,5755
"Virginia",1982,71465
"Washington",1982,62933
"West Virginia",1982,20511
"Wisconsin",1982,59488
"Wyoming",1982,12422
"New England",1982,174671
"United States",1983,3445372
"Alabama",1983,45679
"Alaska",1983,22591
"Arizona",1983,39774
"Arkansas",1983,25292
"California",1983,426143
"Colorado",1983,50718
"Connecticut",1983,55528
"Delaware",1983,10611
"District of Columbia",1983,24573
"Florida",1983,136768
"Georgia",1983,76738
"Hawaii",1983,17260
"Idaho",1983,11834
"Illinois",1983,173119
"Indiana",1983,69335
"Iowa",1983,37481
"Kansas",1983,35257
"Kentucky",1983,44092
"Louisiana",1983,76881
"Maine",1983,13239
"Maryland",1983,62205
"Massachusetts",1983,93054
"Michigan",1983,127754
"Minnesota",1983,61950
"Mississippi",1983,25967
"Missouri",1983,65538
"Montana",1983,10584
"Nebraska",1983,21820
"Nevada",1983,15060
"New Hampshire",1983,12629
"New Jersey",1983,117962
"New Mexico",1983,19882
"New York",1983,305288
"North Carolina",1983,77543
"North Dakota",1983,10045
"Ohio",1983,144897
"Oklahoma",1983,47701
"Oregon",1983,33727
"Pennsylvania",1983,152042
"Rhode Island",1983,12323
"South Carolina",1983,35850
"South Dakota",1983,8123
"Tennessee",1983,57073
"Texas",1983,264883
"Utah",1983,19752
"Vermont",1983,6269
"Virginia",1983,79439
"Washington",1983,67949
"West Virginia",1983,20403
"Wisconsin",1983,63170
"Wyoming",1983,11578
"New England",1983,193042
"United States",1984,3853668
"Alabama",1984,50010
"Alaska",1984,23787
"Arizona",1984,46135
"Arkansas",1984,28465
"California",1984,482166
"Colorado",1984,56230
"Connecticut",1984,63618
"Delaware",1984,11925
"District of Columbia",1984,26584
"Florida",1984,155993
"Georgia",1984,88466
"Hawaii",1984,19132
"Idaho",1984,12586
"Illinois",1984,194244
"Indiana",1984,78859
"Iowa",1984,41264
"Kansas",1984,38442
"Kentucky",1984,49344
