"state","period","measure","unempl_rate"
"Texas","Mar 1976","seasonally adjusted","5.9"
"Utah","Mar 1976","seasonally adjusted","5.8"
"Vermont","Mar 1976","seasonally adjusted","8.7"
"Virginia","Mar 1976","seasonally adjusted","5.9"
"Washington","Mar 1976","seasonally adjusted","8.7"
"West Virginia","Mar 1976","seasonally adjusted","7.9"
"Wisconsin","Mar 1976","seasonally adjusted","5.7"
"Wyoming","Mar 1976","seasonally adjusted","4.2"
"Alabama","Mar 1976","not seasonally adjusted","6.1"
"Alaska","Mar 1976","not seasonally adjusted","8.9"
"Arizona","Mar 1976","not seasonally adjusted","9.9"
"Arkansas","Mar 1976","not seasonally adjusted","7.7"
"California","Mar 1976","not seasonally adjusted","9.3"
"Colorado","Mar 1976","not seasonally adjusted","6.6"
"Connecticut","Mar 1976","not seasonally adjusted","9.7"
"Delaware","Mar 1976","not seasonally adjusted","8.1"
"District of Columbia","Mar 1976","not seasonally adjusted","9"
"Florida","Mar 1976","not seasonally adjusted","9.3"
"Georgia","Mar 1976","not seasonally adjusted","8"
"Hawaii","Mar 1976","not seasonally adjusted","10.3"
"Idaho","Mar 1976","not seasonally adjusted","7"
"Illinois","Mar 1976","not seasonally adjusted","6.8"
"Indiana","Mar 1976","not seasonally adjusted","7.3"
"Iowa","Mar 1976","not seasonally adjusted","5"
"Kansas","Mar 1976","not seasonally adjusted","4.5"
"Kentucky","Mar 1976","not seasonally adjusted","6.1"
"Louisiana","Mar 1976","not seasonally adjusted","6.2"
"Maine","Mar 1976","not seasonally adjusted","9.9"
"Maryland","Mar 1976","not seasonally adjusted","6.7"
"Massachusetts","Mar 1976","not seasonally adjusted","10.9"
"Michigan","Mar 1976","not seasonally adjusted","10.7"
"Minnesota","Mar 1976","not seasonally adjusted","6.9"
"Mississippi","Mar 1976","not seasonally adjusted","6.1"
"Missouri","Mar 1976","not seasonally adjusted","6.2"
"Montana","Mar 1976","not seasonally adjusted","7"
"Nebraska","Mar 1976","not seasonally adjusted","3.6"
"Nevada","Mar 1976","not seasonally adjusted","8.9"
"New Hampshire","Mar 1976","not seasonally adjusted","7.7"
"New Jersey","Mar 1976","not seasonally adjusted","10.4"
"New Mexico","Mar 1976","not seasonally adjusted","9.1"
"New York","Mar 1976","not seasonally adjusted","10.5"
"North Carolina","Mar 1976","not seasonally adjusted","6.4"
"North Dakota","Mar 1976","not seasonally adjusted","4.4"
"Ohio","Mar 1976","not seasonally adjusted","8.8"
"Oklahoma","Mar 1976","not seasonally adjusted","6.3"
"Oregon","Mar 1976","not seasonally adjusted","11"
